11/5
Lil Soldiers
Liricas Analas
Little Brother
Live Squad
Living Legends
London Posse
The Lonely Island
Looptroop
Lootpack
Lord Tariq and Peter Gunz
Lords of the Underground
The Lost Boyz
The Lost Children of Babylon
Low Profile
The Lox
Lumberjacks
Luniz
M.O.P.
¡Mayday!
Machas With Attitude
Made Men
Madvillain
Main Source
Major Figgas
Manau
Mantronix
Marginal Prophets
Mars Ill
Massive Töne
Masta Ace Incorporated
Masters of Illusion
Me N Ma Girls
MellowHype
Menace Clan
Migos
Ministère AMER
Mo Thugs
Mob Figaz
Mobb Deep
Molemen
Monsta Island Czars
Mood
Moorish Delta 7
Murat & Jose
MVP
N Dubz
N.W.A
Nappy Roots
Natas
Nationwide Rip Ridaz
Native Deen
Native Tongues
Naughty by Nature
NB Ridaz
The Neptunes
New Boyz
Newcleus
Next
Nice & Smooth
Non Phixion
Non-Prophets
Northern State
Northstar
Les Nubians
O.F.T.B.
O.G.C.
Oaktown's 3.5.7
Odd Future
Onyx
Organized Konfusion
Organized Rhyme
Orishas
Osdorp Posse
OuterSpace
The Outhere Brothers
OutKast
Outlawz
Outsidaz
Oxide & Neutrino
Oxymorrons
P$C
P-Square
P.A.
P.M. Dawn
Pac Div
The Pack
Paktofonika
Paraziţii
Partners-N-Crime
Party Fun Action Committee
Penthouse Players Clique
People Under The Stairs
The Perceptionists
Pete Rock & CL Smooth
Pharcyde
Phi Life Cypher
Pigeon Hole
Playaz Circle
Poison Clan
Polyrhythm Addicts
Poor Righteous Teachers
Potluck
Pretty Ricky
Prime Suspects
Primer 55
Primitive Lyrics
Pro Era
Prophets of Da City
Proyecto Uno
Psycho Realm
Psychopathic Rydas
Public Enemy
Purple Ribbon All-Stars
El Pus
Quad City DJ's
Quo
Rae Sremmurd
The Randy Watson Experience
Raptori
Rascalz
Raw Fusion
Rebel Diaz
Redhead Kingpin and the F.B.I.
The Regime
The Rej3ctz
Rich Kidz
Rip Slyme
Road Dawgs
Rob Base and DJ E-Z Rock
Rock City
Rodelheim Hartreim Projekt
Roll Deep
The Roots
Rottin Razkals
Ruff Ryders
Run the Jewels
Run-D.M.C.
Rusty Ps
Ruthless Rap Assassins
Saïan Supa Crew
Salt-N-Pepa
Sans Pression
Scapegoat Wax
Screwball
Screwed Up Click
Sens Unik
The Sequence
Shabak Samech
Shape Shifters
She Rockers
Shop Boyz
Showbiz and A.G.
Skatterman & Snug Brim
The Skinny Boys
Skull Gang
Slaughterhouse
Slum Village
Smashproof
Smokin' Suckaz wit Logic
Smif N’ Wessun
Sniper
Snowgoons
Social Deviantz
Soul Militia
Soul Assassins
Soul-Junk
Soulive
Souls of Mischief
Soulshock and Karlin
The Sound Providers
Source of Labor
South Central Cartel
Spooks
Sporty Thievz
St. Lunatics
Starflam
State Property
Steady Mobb'n
Stereo MCs
Stetsasonic
Strange Fruit Project
Strong Arm Steady
Styles of Beyond
Success-n-Effect
The Sugarhill Gang
Sunz of Man
Suprême NTM
Suspekt
Sweatshop Union
Sweet Sensation
Swollen Members
't Hof van Commerce
Tag Team
Task Force
The Team
Tefla and Jaleel
Teriyaki Boyz
Terror Squad
Tha Alkaholiks
Tha Blue Herb
Tha Dogg Pound
Tha Mexakinz
The Dey
Themselves
Theodore Unit
Three 6 Mafia
Three Times Dope
Thug Life
Timbaland & Magoo
Timex Social Club
Timeflies
TLC
Trackmasters
Travail
Travis Porter
Treacherous Three
A Tribe Called Quest
Trillionaire$
Trillville
Triple C's
TRU
TTC
Twenty One Pilots
Twinz
Twiztid
Two-9
TZU
UGK
Ugly Duckling
Ultramagnetic MCs
The U.M.C.'s
U.N.
The Underachievers
U.N.L.V.
US3
U.S.D.A
UTFO
UTP
Violadores del Verso
The Visionaries
Warp 9
We Are Toonz
The Weathermen
Wee Papa Girl Rappers
Westside Connection
Who See
Whodini
The Whooliganz
Wisemen
Wreckx-n-Effect
World Class Wreckin' Cru
Wu-Tang Clan
X-Clan
The X-Ecutioners
X Plastaz
Y?N-Vee
Yaggfu Front
Ying Yang Twins
YoungBloodZ
Young Gunz
Young Paperboyz
Young Soldierz
Zion I
